,max_get_detail_per_min
1002271,11
101258,142
102891,10
106009,10
108184,27
108252,142
109244,24
111966,11
114303,14
124754,10
126428,138
130702,11
145247,156
145794,148
148781,12
154568,146
158724,136
174331,150
175325,151
18870,153
190589,12
197395,135
201756,12
211861,10
213672,159
220170,10
221766,145
222179,10
235546,129
244470,148
247032,145
249550,147
257079,10
259262,146
261412,154
268257,141
270535,11
274972,147
291010,143
29255,11
295758,146
301286,138
303329,137
315816,10
317470,147
319055,155
323423,10
326741,10
3273,146
328563,135
328733,138
334268,11
336593,159
339635,11
342739,150
344259,138
347208,10
351219,15
359225,139
364409,147
36823,140
381441,13
39128,11
393774,10
398566,11
400719,143
401521,148
405981,156
413814,141
414453,146
4153,10
417739,12
441937,134
443485,11
449129,10
449713,155
463354,148
465302,135
467969,151
469541,151
472851,131
474807,12
476120,152
476347,10
477446,147
494958,10
507246,11
515514,146
517310,137
519848,15
522438,140
528539,12
536218,137
538530,11
540139,158
547983,151
550095,16
553101,154
584484,13
592047,142
617183,150
617614,140
622432,138
635421,12
640448,10
641395,11
644641,12
645384,147
646786,10
652853,131
655024,19
6581,156
658194,10
659140,147
660693,143
669482,144
676910,146
678458,156
679960,10
680922,154
681334,10
686978,140
687928,10
688245,11
692476,143
694923,14
705271,131
707002,134
708001,153
708583,145
711750,10
713099,138
716013,141
724525,155
732905,10
736348,127
737210,135
753012,12
764176,11
772141,12
774568,18
78310,141
788777,11
79049,10
792150,12
792408,155
79405,134
797030,14
81155,10
834185,146
841553,10
84541,11
854455,142
857614,152
862941,11
863342,11
89397,13
894693,10
899879,10
903802,145
906965,13
907384,10
909045,10
913841,143
914898,10
915469,142
917606,134
922949,11
936037,142
936135,10
936963,12
945473,11
946045,132
947757,13
952645,145
955157,11
96250,138
963108,11
963507,151
970568,13
977797,163
982232,10
986817,12
987782,135
987917,145
989494,145
994529,136
